Company Name,Contact Number,Website URL,Location/Address,Email Address,Company Description,Industry/Category
"Maddox, Bruce A",(415) 239-0788,http://www.bruceamaddoxcpa.com,"341 Visitacion Ave Brisbane, CA 94005",bmaddox102@aol.com,"Serving San Mateo, Burlingame, San Francisco & The Peninsula Tax Return Specialist Business Taxes Estate & Trust Return (No Payroll Tax) Audit Representation By Appointment","Financial Services, Accountants-Certified Public, Accounting Services"
Dreamcatcher Bookkeeping Services,(916) 768-4106,https://www.dreamcatcherbookkeeping.com,"4407 Whitland Ct Rocklin, CA 95677",debbie@dreamcatcherbkkpg.com,"Dreamcatcher Bookkeeping Services, LLC is a full-service accounting firm serving clients throughout the Placer County, California area, dedicated to providing our clients with professional, personalized services and guidance in a wide range of financial and business needs.  Whether you are an individual or a business, in/around our area, or somewhere else in the United States, Dreamcatcher Bookkeeping Services, LLC can help you.  Let years of valuable experience work for you to help catch your business dreams.","Financial Services, Accountants-Certified Public, Accounting Services"
Yusef Odeh Bail Bonds,(760) 301-5909,http://www.bailnu.com,"301 S China Lake Blvd Ste B Ridgecrest, CA 93555",yusefodehbailbonds@yahoo.com,"Yusef Odeh Bail Bonds is available to you 24 hours a day, 365 days a year. We are locally owned and operated out of Ridgecrest California. We are a true bail bond company. We work for you. We get the job done, guaranteed. We specialize in Felonies, Misdemeanors, Drug Charges, Spousal Abuse & More. We offer free bail advice. If you don't have collateral, it's not a problem. We will work with you. If we can't bail you out, no one can. All contact is totally confidential. We offer a 20% discount to Union Members. Payment plans available. Ca License number 1842901.","Bail Bond Referral Service, Bail Bonds, Financial Services"
Rod Buntjer Bail Bonds,(707) 595-7384,http://www.rodbuntjerbailbonds.com,"225 W College Ave, Ste A Santa Rosa, CA 95401",info@odonnellbailbonds.com,"At Rod Buntjer Bail Bonds, our knowledgeable representatives are available to walk you through the entire bail  process so you donâ€™t feel like youâ€™re all by yourself against a faceless legal system. We will explain bail bond requirements and how to post bail so the arrested individuals may remain free until their trial.","Bail Bonds, Financial Services"
AJ's Super Pawn,(909) 417-0003,http://www.ajssuperpawn.com,"496 E Holt Ave Pomona, CA 91767",dave@ajsfastcash.com,"At AJ's Super Pawn, we have dedicated ourselves to providing the best customer service possible to ensure that your experience with us is both pleasurable and enjoyable. Come get the kind of service you deserve. Get fast, courteous and up-front service from professionals committed to providing great service. Come to AJ's Super Pawn. 
Customers Served 
Residential, Commercial 
Multiple Locationsâ€¢ 5810 Riverside Dr,Chino","Payday Loans, Financial Services, Gold, Silver & Platinum Buyers & Dealers"
BTI  Professional Services,(714) 866-4476,http://btiprofessional.com/,"17821 17th St, Suite 270 Tustin, CA 92780",marilyn@btiprofessional.com,"BTI Professional Services, Inc., has been serving our clients since 1981 by Ms. Marilyn Ratliff, E.A. (Enrolled Agent.) The staff of BTI provides full service income tax preparation for companies and individuals, tax representation with the IRS, tax problem resolution, IRS and State Audit support, income tax preparation services for businesses and individuals as well as Estate Tax Planning, Representation when interfacing with the IRS.","Taxes-Consultants & Representatives, Accounting Services, Bookkeeping"
Susan H Witting Law Office,(805) 777-7371,http://www.shwfamilylaw.com,"509 Marin St, Ste 122 Thousand Oaks, CA 91360",attrnysue@aol.com,"We are dedicated to providing you with high quality representation that is personalized to meet the needs of your particular case. The caring and experienced family law firm handles divorce, support, property and child custody issues. Susan H. Witting has been practicing law in Ventura County since 1983 and has dedicated her practice to all aspects of Family Law. She is a Certified Family Law Specialist by the State Bar of California Board of Legal Specialization. Ms. Witting is a past president of the Family Law Section of the Ventura County Bar Association, serving (2) consecutive terms in 1997 and 1998. Practice Areas: Domestic Relations-Interstate Support- Marital Property Law-Postnuptial-Separation-Premarital-Restraining Orders-Interstate Child Custody-Family Mediation-Spousal Support- Uncontested Divorce-Domestic Violence-Paternity-Divorce-Military Divorce-Family-Mediation-Alimony-Annulment-Name Changes-Property Settlements-Divorce Mediation-Cohabitation Agreement, High Valu e asset division cases, stock option divisions, Pension & retirement account divisions, Contested trials & hearings, Modifications, Move Aways, Business Valuation & division","Child Custody Attorneys, Adoption Law Attorneys, Attorneys"
Ress Financial,(844) 848-2981,http://www.ressfc.com,"1780 Town And Country Dr, Ste 105 Norco, CA 92860",bruce@ressfc.com,"Thank you for visiting our website! RESS Financial Corporation offers non-judicial foreclosure (Trustee's Sale) services to California real property lenders of all types. We specialize in servicing hard money lenders, whether mortgage company or private party, as well as seller carry-back. We also offer consulting services for lenders. We invite any questions you may have regarding our services.","Foreclosure Services, Financial Services, Investment Advisory Service"
Sobrante Hills Realty,(510) 223-7777,http://sobrantehills.com,"1660 San Pablo Av Pinole, CA 94564",iwk4me247@yahoo.com,"Zillow helps you find the newest El Sobrante real estate listings. By analyzing information on thousands of single family homes for sale in El Sobrante, California  and across the United States, we calculate home values (Zestimates) and the Zillow Home Value Price Index for El Sobrante proper, its neighborhoods and surrounding areas. There are currently 21 for sale listings in Contra Costa County CA zip codes, including condos, bank owned homes, short sales, townhomes, duplexes, land and luxury listings. If you're looking to rent in El Sobrante CA, check out our extensive list of luxury apartments and townhomes. We make it easy to find your dream home by filtering home types, price and size. Filtering with keyword search is also possible, like ""waterfront"" homes in El Sobrante.","Financial Services, Commercial Real Estate, Loans"
Bryant C. MacDonald Attorney At Law,(909) 748-5377,http://www.redlandsbkattorney.com,"300 E State St Redlands, CA 92373",maclaw51@verizon.net,"Attorney Bryant MacDonald specializes in bankruptcy, business and real estate law in Redlands California. Whether you need representation immediately or just have questions we can help you. 50% of people do not need to file bankruptcy, call me now and schedule a consultation with me personally to determine what course of action is best.We can immediately stop harassing creditor calls and wage garnishment. Call now to start the process, and have closure within 30-90 days. We are also a top firm in the area for real estate and business litigation. Evening and Saturday consultations available.","Bankruptcy Law Attorneys, Attorneys, Bankruptcy Services"
